Title,QID,Type,Action,Property,Value
Maxims about Mammals II,Q239198,Claim,Skipped,P82,Q215175
Maxims about Mammals II,Q239198,Claim,Skipped,P761,2000-01-01
Maxims about Mammals II,Q239198,Claim,Skipped,P145,Q234514
Maxims about Mammals II,Q239198,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals II,Q239198,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P32
Maxims about Mammals II,Q239198,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals II,Q239198,Source,Skipped,P149,[[test:Q239104]]
Maxims about Mammals IV,Q239184,Claim,Skipped,P82,Q215175
Maxims about Mammals IV,Q239184,Claim,Skipped,P761,2000-01-01
Maxims about Mammals IV,Q239184,Claim,Skipped,P145,Q234514
Maxims about Mammals IV,Q239184,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals IV,Q239184,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals IV,Q239184,Source,Skipped,P149,[[test:Q239104]]
Maxims about Mammals IV,Q239184,Source,Skipped,P149,[[test:Q226245]]
Maxims about Mammals V,Q239185,Claim,Skipped,P82,Q215175
Maxims about Mammals V,Q239185,Claim,Skipped,P761,2000-01-01
Maxims about Mammals V,Q239185,Claim,Skipped,P145,Q234514
Maxims about Mammals V,Q239185,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals V,Q239185,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals V,Q239185,Source,Skipped,P149,[[test:Q239104]]
Maxims about Mammals V,Q239185,Source,Skipped,P149,[[test:Q226245]]
Maxims about Mammals VI,Q239222,Claim,Skipped,P82,Q215175
Maxims about Mammals VI,Q239222,Claim,Skipped,P761,2000-01-01
Maxims about Mammals VI,Q239222,Claim,Skipped,P145,Q234514
Maxims about Mammals VI,Q239222,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals VI,Q239222,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Maxims about Mammals VI,Q239222,Source,Skipped,P149,[[test:Q239104]]
Maxims about Mammals VI,Q239222,Source,Skipped,P149,[[test:Q226245]]
